animeTitle	b'Recorder to Randoseru Mi\xe2\x98\x86'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	11200
animeRank	
animePopularity	
animeDescription	b'Third season of Recorder to Randoseru.'
animeRelated	[b'Recorder to Randoseru', b'Recorder to Randoseru Mi\xe2\x98\x86 Special']
animeCharacters	[b'Miyagawa, Atsushi', b'Miyagawa, Atsumi', b'Takahashi, Sayo', b'Take-nii', b'Jun-chan', b'Midori', b'Kawauchi', b'Kijima', b'Moriyama, Futami', b'Hina-chan']
animeVoices	[b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nIizuka, Mayu\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nTamiyasu, Tomoe\nJapanese\n', b'\nUchida, Aya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nImazaki, Itsuki\n\nDirector\n\n', b'\nIA\n\nTheme Song Performance\n\n', b'\nKashiyama, Nanami\n\nTheme Song Performance\n\n', b'\nIshifuro\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Arrangement\n\n']
