animeTitle	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	77536
animeRank	
animePopularity	1200
animeDescription	On their way back from the 18th floor, Hestia, Bell, and the others accidentally uncover a hidden, mystical hot spring, and they decide to stop by to refresh themselves until creatures lurking in the dark appear to attack them.
animeRelated	['Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya']
animeCharacters	['Cranel, Bell', 'Hestia', 'Wallenstein, Ais', 'Lion, Ryuu', 'Arde, Liliruca', 'Hermes', 'Yamato, Mikoto', 'Crozzo, Welf', 'Hephaistios', 'Loki']
animeVoices	['Matsuoka, Yoshitsugu', 'Minase, Inori', 'Oonishi, Saori', 'Hayami, Saori', 'Uchida, Maaya', 'Saitou, Souma', 'Akasaki, Chinatsu', 'Hosoya, Yoshimasa', 'Terasaki, Yuka', 'Kubo, Yurika']
animeStaff	[['Suzuki, Youhei', 'Director, Episode Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Shirane, Hideki', 'Script, Series Composition'], ['Minase, Inori', 'Theme Song Performance']]
