animeTitle	Break-Age
animeType	OVA
animeNumEpisode	1
releaseDate	1999-09-25 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12493
animeDescription	"In 2007, the inhabitants of Danger Planet II fight their battles using remote-controlled robots or ""virtual puppets."" Kirio Nimura is a high school student and the strongest puppeteer on the planet, until he falls for Sairi Takahara, who insists that nobody may make advances until they have beaten her puppet, Benkei.

(Source: Anime Encyclopedia)"
animeRelated	['Break-Age']
animeCharacters	['Kurata, Daisuke', 'Takahara, Sairi', 'Nimura, Kirio']
animeVoices	[]
animeStaff	[['Tominaga, Tsuneo', 'Director, Screenplay'], ['Kano, Akira', 'Character Design, Animation Director'], ['Seki, Kazuhiko', 'Editing']]
