animeTitle	b'Gokushufudou'
animeType	b'ONA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	135893
animeRank	
animePopularity	
animeDescription	"b'Who would have ever thought that the most feared gangster of his time now spends his days as a modest househusband? Seemingly giving up the way of the yakuza, the legendary ""Immortal Dragon"" Tatsu, best known for his prolific skirmishes against rival gangs, has abruptly vanished. Unbeknownst to most, however, Tatsu is currently staying at an apartment with his wife, doing his best to live a peaceful life.\n\nDonning his trusty apron, Tatsu is now striving to become an efficient homemaker. Because of this, he has mastered the required skills\xe2\x80\x94be it cooking the most delicious dishes, making sure to get the best deals at supermarkets, and everything in between\xe2\x80\x94garnering the surprise of both of his former subordinates and enemies alike. Despite being a man with quite a controversial past, Tatsu\'s new way of life will only be more eccentric from here on out!\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Gokushufudou', b'Gokushufudou Part 2']
animeCharacters	"[b'Tatsu', b'Miku', b'Gin', b'Masa', b'Torii, Hibari', b'Torajirou', b'Otaku', b'Kuma-san Bears Yakuza Boss', b""Miku's Father"", b'Housewife with Hair Bun']"
animeVoices	[b'\nTsuda, Kenjirou\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nIchimichi, Mao\nJapanese\n', b'\nOkitsu, Kazuyuki\nJapanese\n', b'\nTanaka, Atsuko\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nNojima, Hirofumi\nJapanese\n', b'\nMamiya, Yasuhiro\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nArai, Satomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKon, Chiaki\n\nDirector\n\n', b'\nUchikubi Gokumon Doukoukai\n\nTheme Song Performance\n\n', b'\nOono, Kousuke\n\nOriginal Creator\n\n', b'\nYamakawa, Susumu\n\nSeries Composition\n\n']
