animeTitle	Duel Masters
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.83
animeUsers	11069
animeRank	
animePopularity	3917
animeDescription	"The world of Duel Masters is one of five great civilizations. Through a card game, duelists can bring these worlds into existence, making what was previously abstract into reality. These skilled duelists are known as Kaijudo masters.

Shobu Kirifuda is the best player at his local playground, and seeks to become a world-class master like his father. His first step on the road to conquest begins with winning a local tournament. Rather, it should have, except he is destroyed by the best Kaijudo master in the world, Knight. Shobu loses, but upon remembering the words of wisdom his father instilled into him, decides to continue on the road of becoming a duelist who can enjoy the game for what it is. And so begins his journey to victory－and as we all know, the journey is the most important part!"
animeRelated	['Duel Masters', 'Duel Masters Movie 1: Yami no Shiro no Maryuuou', 'Duel Masters Movie 2: Lunatic God Saga', 'Duel Masters Movie 3: Honoo no Kizuna XX', 'Duel Masters Charge', 'Shinseiki Duel Masters Flash']
animeCharacters	['Kirifuda, Shoubu', 'Kokujou, Kyoushirou', 'Tasogare, Mimi', 'Hakuou', 'Knight', 'Manaka, Sayuki', 'Kadoko, Rekuta', 'Kamiya, Tooru']
animeVoices	['Kobayashi, Yumiko', 'Kishio, Daisuke', 'Nakajima, Saki', 'Minagawa, Junko', 'Konishi, Katsuyuki', 'Chiba, Saeko', 'Imai, Yuka', 'Fukuyama, Jun']
animeStaff	[['Aketagawa, Jin', 'Sound Director'], ['Oota, Tomoaki', 'Episode Director, Storyboard, Key Animation'], ['Kanemaki, Kenichi', 'Script'], ['Akahoshi, Masanao', 'Script']]
