animeTitle	Isshuukan Friends. Specials
animeType	Special
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.8
animeUsers	7614
animeRank	
animePopularity	4061
animeDescription	Specials included in the Blu-ray/DVD releases.
animeRelated	['Isshuukan Friends.']
animeCharacters	['Fujimiya, Kaori', 'Hase, Yuuki', 'Yamagishi, Saki', 'Kiryuu, Shougo', 'Fujimiya, Shiho', 'Kujou, Hajime', 'Serizawa, Maiko', 'Nishimura, Ai']
animeVoices	['Amamiya, Sora', 'Yamaya, Yoshitaka']
animeStaff	[['Hazuki, Matcha', 'Original Creator']]
