animeTitle	b'Charlotte'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.75
animeUsers	779350
animeRank	
animePopularity	
animeDescription	"b""While on the surface Yuu Otosaka appears to be just another charming and intelligent teenager, he has a secret\xe2\x80\x94he has the ability to slip into people's minds and fully control their body for five seconds at a time. Yuu has been using this skill for years to gain the highest grades, which allowed him to enter a prestigious high school.\n\nWhen the enigmatic Nao Tomori catches Yuu using his power, she coerces him and his sister Ayumi into transferring to Hoshinoumi Academy, a school for students with supernatural abilities. The student council of the school, led by Nao, is tasked with secretly tracking down adolescents who abuse their powers. Yuu is forced to join the student council and together, they face formidable challenges that bring him closer to the shocking truth that his own, seemingly incomplete ability, might be more powerful than he could have ever imagined.\n\nAn original story from Jun Maeda, creator of Angel Beats and Clannad, Charlotte explores the supernatural lives of these teenagers and the price they must pay for being special.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Charlotte', b'Charlotte: Tsuyoimono-tachi']
animeCharacters	[b'Tomori, Nao', b'Otosaka, Yuu', b'Otosaka, Ayumi', b'Takajou, Joujirou', b'Kurobane, Yusa', b'Otosaka, Shunsuke', b'Kurobane, Misa', b'Shane, Sara', b'Kumagami, Takehito', b'Maedomari']
animeVoices	[b'\nSakura, Ayane\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nAsakura, Momo\nJapanese\n', b'\nMizushima, Takahiro\nJapanese\n', b'\nUchida, Maaya\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nTakemoto, Eiji\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nToba, Yousuke\n\nProducer\n\n', b'\nAsai, Yoshiyuki\n\nDirector\n\n', b'\nIida, Satoki\n\nSound Director\n\n', b'\nImaizumi, Kenichi\n\nEpisode Director, Key Animation, Animation Director\n\n']
