animeTitle	Mahou Shoujo Site Recaps
animeType	Special
animeNumEpisode	2
releaseDate	2018-05-10 00:00:00
endDate	2018-06-13 00:00:00
animeNumMembers	4408
animeScore	6.21
animeUsers	1020
animeRank	7663
animePopularity	7394
animeDescription	Recaps of the Mahou Shoujo Site created by Avex Entertainment. Narrated by AI Kizuna and Nobuhiko Okamoto.
animeRelated	['Mahou Shoujo Site']
animeCharacters	['Asagiri, Kaname', 'Site Kanrinin 8']
animeVoices	['Okamoto, Nobuhiko', 'Kizuna, AI']
animeStaff	[['Satou, Kentarou', 'Original Creator']]
