animeTitle	Whistle!
animeType	TV
animeNumEpisode	39
releaseDate	2002-05-06 00:00:00
endDate	2003-02-03 00:00:00
animeNumMembers	
animeScore	7.38
animeUsers	5825
animeRank	
animePopularity	4779
animeDescription	"Kazamatsuri Shou's dream has always been to become a professional soccer player, but he has one problem: he's not very good at the game. He was accepted to the prestigious Musashi no Mori Junior High, known for its top rate soccer team, but he was never able to rise beyond the rank of third stringer. After transferring to Sakura Jousui Junior High, he can finally play soccer. And, with the support of his new friends and teammates, his strong determination, and lots of hard work, his soccer skills are developing rapidly and setting Shou well on his way to achieving his dream.

(Source: ANN)"
animeRelated	['Whistle!']
animeCharacters	['Kazamatsuri, Sho', 'Sato, Shigeki', 'Fuwa, Daichi', 'Mizuno, Tatsuya', 'Shiina, Tsubasa', 'Fujishiro, Seiji', 'Shibusawa, Katsuro', 'Sakurai, Miyuki', 'Katori, Yuuko', 'Mikami, Akira']
animeVoices	['Komukai, Minako', 'Kiuchi, Hidenobu', 'Kiyasu, Kohei', 'Maeda, Takeshi', 'Higuchi, Chieko', 'Kondou, Takayuki', 'Naitou, Ryou', 'Hasegawa, Shizuka', 'Haramoto, Miki', 'Kawai, Yoshinori']
animeStaff	[['Fukutomi, Hiroshi', 'Director'], ['Yamada, Takashi', 'Script'], ['Komukai, Minako', 'Theme Song Performance'], ['Sahashi, Toshihiko', 'Music']]
