animeTitle	b'Yonimo Osoroshii Nihon Mukashibanashi'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	143
animeRank	
animePopularity	
animeDescription	"b'The horrible truths behind Japanese Fairy Tales from the ancient times are finally revealed! This title includes three episodes: ""The Monkey and the Crab"", ""Click-Crack Mountain"" and ""Urashima and the Kingdom beneath the Sea"".\n\n(Source: Official Website)'"
animeRelated	[b'Yonimo Osoroshii Grimm Douwa']
animeCharacters	[b'Wander Monkey']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTakaya, Hirotoshi\n\nAnimation Director, Character Design\n\n']
