animeTitle	Toradora!: SOS! Kuishinbou Banbanzai
animeType	Special
animeNumEpisode	4
releaseDate	2009-02-03 00:00:00
endDate	2009-08-26 00:00:00
animeNumMembers	97472
animeScore	6.39
animeUsers	48903
animeRank	6727
animePopularity	1660
animeDescription	Toradora DVD shorts featuring the miniature forms of the Toradora characters talking about, and eating, food.
animeRelated	['Toradora!']
animeCharacters	['Aisaka, Taiga', 'Takasu, Ryuuji', 'Kushieda, Minori', 'Kawashima, Ami', 'Kitamura, Yuusaku', 'Inko', 'Koigakubo, Yuri']
animeVoices	['Kugimiya, Rie', 'Majima, Junji', 'Horie, Yui', 'Kitamura, Eri', 'Nojima, Hirofumi', 'Gotou, Saori', 'Tanaka, Rie']
animeStaff	[['Aketagawa, Jin', 'Sound Director'], ['Itou, Michiko', 'Script, Screenplay'], ['Takemiya, Yuyuko', 'Original Creator'], ['Hashimoto, Yukari', 'Music']]
