animeTitle	Bakusou Kyoudai Let's & Go WGP
animeType	TV
animeNumEpisode	51
releaseDate	1997-01-06 00:00:00
endDate	1997-12-22 00:00:00
animeNumMembers	
animeScore	6.96
animeUsers	2909
animeRank	
animePopularity	6877
animeDescription	"After the first season, Retsu and Go have now formed a team called ""TRF Victorys"" which Tokichi Mikuni, J, and Ryo Takaba are part of. Together, they aim for the World Cup.

In this cup, teams from all over the globe enter. Some of the teams are, NA Astrorangers (Americans), Eisen Wolf (Germans), Rosso Estrada (Italians)."
animeRelated	"[""Bakusou Kyoudai Let's & Go"", ""Bakusou Kyoudai Let's & Go MAX"", ""Bakusou Kyoudai Let's & Go!! WGP Bousou Mini Yonku Daitsuiseki""]"
animeCharacters	['Seiba, Retsu', 'Seiba, Go', 'J', 'Va Itsuzegga, Michael', 'Okita, Kai', 'Dr. Tsuchiya', 'Astaire, Brett', 'Okada, Tesshin', 'Sagami, Jun', 'Takaba, Jiromaru']
animeVoices	['Fuchizaki, Yuriko', 'Ikezawa, Haruna', 'Watanabe, Kumiko', 'Adachi, Shinobu', 'Ebara, Masashi', 'Itou, Kentarou', 'Shiibashi, Shigeru', 'Ootani, Ikue']
animeStaff	[['Kato, Takao', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Kasai, Kenichi', 'Episode Director, Storyboard'], ['Ozeki, Masayuki', 'Episode Director, Storyboard']]
