animeTitle	b'Usakame'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	4965
animeRank	
animePopularity	
animeDescription	"b""The girls of the Usakame High tennis club, Tanaka Kinako, Suzuki Ayako, Sato Kurumi, and Nishiarai-Taishi Nishi, pursue their various dreams... This high school comedy kind of thing starts now. Usakame, the official rival of the high intensity comedy Teekyuu, depicts the mostly ordinary but slightly strange daily lives of four girls who devote themselves to practice. All members of Earth Star Dream, an Earth Star Entertainment idol unit of nationally famous voice actors, appear in the show! Sit back, relax, and enjoy Teekyuu's rival Usakame. \n\n(Source: Crunchyroll)"""
animeRelated	[b'Usakame', b'Teekyuu', b'Usakame Special']
animeCharacters	[b'Nishiaraidaishi, Nishi', b'Satou, Kurumi', b'Tanaka, Kinako', b'Suzuki, Ayako', b'Bandou, Marimo', b'Shinjou, Kanae', b'Takamiya, Nasuno', b'Oshimoto, Yuri', b'Irohani, Hoheto', b'Baba, Miyako']
animeVoices	[b'\nTanijiri, Maria\nJapanese\n', b'\nKotama, Hikaru\nJapanese\n', b'\nNakashima, Yuki\nJapanese\n', b'\nAraida, Izumi\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nNarumi, Kyoko\nJapanese\n', b'\nWatanabe, Yui\nJapanese\n', b'\nAihara, Arisa\nJapanese\n', b'\nSogabe, Eri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItagaki, Shin\n\nDirector, Sound Director, Series Composition\n\n', b'\nEarth Star Dream\n\nTheme Song Performance\n\n', b'\nIguchi, Makoto\n\nColor Design\n\n', b'\nTerada, Tsugeo\n\nOriginal Creator\n\n']
