animeTitle	b'Ginga e Kickoff!!'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	9477
animeRank	
animePopularity	
animeDescription	b'The story follows a boy who was in a soccer team, but it was disbanded due to not enough players. However, after the boy meets a female professional soccer player, he aims to bring his soccer team back.\n\n(Source: AniDB)'
animeRelated	[b'Ginga e Kickoff!!', b'Ginga e Kickoff!!: Natsuyasumi Special']
animeCharacters	[b'Furuya, Kota', b'Furuya, Ouzou', b'Takuma, Aoto Gonzales', b'Furuya, Ryuuji', b'Takato, Erika', b'Saionji, Reika', b'Oota, Shou', b'Sugiyama, Tagi', b'Kageura, Akira', b'Hanashima, Masaru']
animeVoices	[b'\nKENN\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nKikuchi, Kokoro\nJapanese\n', b'\nTachibana, Shinnosuke\nJapanese\n', b'\nNakatsu, Mari\nJapanese\n', b'\nTazawa, Riiko\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nIkeda, Kyousuke\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nKoyama, Rikiya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUda, Kounosuke\n\nDirector\n\n', b'\nIzawa, Motoi\n\nSound Director\n\n', b'\nHiramaki, Daisuke\n\nEpisode Director, Storyboard\n\n', b'\nYamashita, Kenichi\n\nScript\n\n']
