animeTitle	RoboDz
animeType	TV
animeNumEpisode	26
releaseDate	2008-06-02 00:00:00
endDate	2008-11-24 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14724
animeDescription	Five minute episodes following the adventures of three robot friends: Nejimaru, Sombrenosuke and Drum-Kan-Be, who coexist with humans of the same world. When an alien invasion called Corporation Baddoru arrives, they are forced to join forces against the invaders.
animeRelated	[]
animeCharacters	['Nejimaru', 'Captain Baddle']
animeVoices	['Ikura, Kazue', 'Koyasu, Takehito']
animeStaff	[['Nishio, Daisuke', 'Director'], ['Itou, Naoyuki', 'Episode Director'], ['Miyahara, Naoki', 'Character Design']]
