animeTitle	b'Secret Journey'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	2950
animeRank	
animePopularity	
animeDescription	"b'Genjo Sanzo is on a journey, he has to travel to India to retrieve the holy sutras. Along the way, he happens to free Goku, a sex-addicted monkey sealed by Buddha. Together they travel to the west.\n\nBased on ""Journey to the West"".\n\n(Source: MU)'"
animeRelated	[b'Secret Journey']
animeCharacters	[b'Goku', b'Sanzou']
animeVoices	[b'\nAshiya, Kyouko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nPo-ju\n\nOriginal Character Design\n\n', b'\nZappa, Gou\n\nOriginal Creator\n\n']
