animeTitle	Ichigeki Sacchuu!! Hoihoi-san: Legacy
animeType	ONA
animeNumEpisode	1
releaseDate	2012-08-11 00:00:00
endDate	
animeNumMembers	
animeScore	4.88
animeUsers	391
animeRank	
animePopularity	10892
animeDescription	"Originally planned to be released as an original video anime adaptation of Ichigeki Sacchuu!! HoiHoi-san Legacy manga. Japanese publisher ASCII Media Works concluded that there has been no prospect of completing the production of the title and cancelled the production. The two-minute trailer is all that was released of this project.

(Source: AniDB)"
animeRelated	['Ichigeki Sacchu!! Hoihoi-san: Legacy', 'Ichigeki Sacchuu!! Hoihoi-san']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
