animeTitle	b'Jungle Book Shounen Mowgli'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	3146
animeRank	
animePopularity	
animeDescription	b'After his parents died, Mowgli is raised by the Wolf Pack of the Seeonee Forest led by Akela and other wild animals such as Bagheera and Baloo. The young boy goes through several heartwarming, bittersweet, and life-threatening adventures as he seeks after his true purpose in life. And one of many dangers he has to face is the man-eating tiger, Shere Khan...\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Mowgli', b'Alexander', b'Lala', b'Bagherra', b'Carr']
animeVoices	[b'\nTakano, Urara\nJapanese\n', b'\nIkeda, Masaru\nJapanese\n', b'\nOrikasa, Ai\nJapanese\n', b'\nIshimaru, Hiroya\nJapanese\n', b'\nYamada, Keaton\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKurokawa, Fumio\n\nDirector\n\n', b'\nKoshi, Shigeo\n\nStoryboard\n\n', b'\nOkuda, Seiji\n\nStoryboard\n\n', b'\nOomori, Hidetoshi\n\nStoryboard\n\n']
