animeTitle	Hiiro no Koku
animeType	OVA
animeNumEpisode	5
releaseDate	1999-09-18 00:00:00
endDate	2000-09-15 00:00:00
animeNumMembers	1369
animeScore	5.15
animeUsers	387
animeRank	
animePopularity	10367
animeDescription	"Based on the manga by Sanbun Kyouden.

A housewife gets raped by a bunch of men. As it turns out she likes it and her life becomes a succession of perverted sexual adventures. 

(Source: AniDB) "
animeRelated	['Hiiro no Koku']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
