animeTitle	UG☆Ultimate Girls
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.64
animeUsers	3000
animeRank	
animePopularity	5663
animeDescription	"During a monster attack on the city, which is something that happens quite often, Silk and her two friends try get close to the attacking monster for a better view. An unfortunate choice of location to watch from leads to UFO-man, the city's giant protector, to land on the girls crushing them to death. Feeling sorry, UFO-man blames their death on the monster and promises to bring Silk and her friends back to life by lending them his power but the catch is that they now have to become the city's protector as well.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Koharuno, Shiruku', 'UFO Man', 'Moroboshi, Tsubomi', 'Ootori, Vivienne', 'Moroboshi, Makoto', 'Okamura, Yosaku', 'Koharuno, Mayu']
animeVoices	['Fukuen, Misato', 'Furuya, Toru', 'Tokunaga, Ai', 'Nabatame, Hitomi', 'Tai, Yuuki', 'Matsuyama, Takashi', 'Kimura, Akiko']
animeStaff	[['Mutou, Yuuji', 'Director, Episode Director, Storyboard'], ['Takahashi, Hideo', 'Sound Director'], ['Ishiodori, Hiroshi', 'Episode Director, Storyboard'], ['Kon, Chiaki', 'Storyboard']]
