animeTitle	b'Tiger & Bunny Pilot'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	3379
animeRank	
animePopularity	
animeDescription	b'The pilot episode for Tiger & Bunny released on the first DVD & BD volume.'
animeRelated	[b'Tiger & Bunny']
animeCharacters	[b'Kaburagi, Kotetsu T.', b'Brooks Jr., Barnaby', b'Lyle, Karina']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYatate, Hajime\n\nOriginal Creator\n\n']
