animeTitle	Tsukipro The Animation 2
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	301
animeRank	
animePopularity	6611
animeDescription	"For the members of SolidS, Growth, SOARA, and QUELL, the Tsukino Talent Productions' Live 2021 Summer Carnival is coming soon. The two-day event will culminate with a joint live performance featuring all four units. Due to the size and setup of the stage, each unit will need to create new songs and choreographies to accompany them in the riveting second season of Tsukipro The Animation.

[Written by MAL Rewrite]"
animeRelated	['Tsukiuta. The Animation', 'Tsukiuta. The Animation 2', 'Vazzrock The Animation', 'Tsukipro The Animation']
animeCharacters	['Fujimura, Mamoru', 'Takamura, Shiki', 'Sera, Rikka', 'Murase, Dai', 'Sakuraba, Ryouta', 'Oohara, Sora', 'Etou, Kouki', 'Okui, Tsubasa', 'Izumi, Shuu', 'Yaegashi, Kensuke']
animeVoices	['Terashima, Junta', 'Eguchi, Takuya', 'Hanae, Natsuki', 'Umehara, Yuuichirou', 'Yamashita, Daiki', 'Toyonaga, Toshiyuki', 'Toki, Shunichi', 'Saitou, Souma', 'Takeuchi, Shunsuke', 'Yamaya, Yoshitaka']
animeStaff	[['Kimiya, Shigeru', 'Director'], ['Sekine, Satoko', 'Series Composition'], ['Satsuki, You', 'Original Character Design'], ['Shijima, Tohiro', 'Original Character Design']]
