animeTitle	Cinderella Girls Gekijou 2nd Season Specials
animeType	Special
animeNumEpisode	3
releaseDate	2017-11-29 00:00:00
endDate	2018-01-24 00:00:00
animeNumMembers	
animeScore	6.35
animeUsers	316
animeRank	
animePopularity	9958
animeDescription	Unaired episodes of ''Cinderella Girls Gekijou 2nd Season'' included in the DVD and Blu-ray release.
animeRelated	['Cinderella Girls Gekijou', 'Cinderella Girls Gekijou Specials', 'Cinderella Girls Gekijou 2nd Season', 'Cinderella Girls Gekijou 3rd Season Specials']
animeCharacters	['Shibuya, Rin', 'Shimamura, Uzuki', 'Honda, Mio', 'Ichinose, Shiki', 'Shiomi, Shuuko', 'Igarashi, Kyouko', 'Kamiya, Nao', 'Houjou, Karen', 'Kohinata, Miho', 'Producer']
animeVoices	['Fukuhara, Ayaka', 'Ohashi, Ayaka', 'Hara, Sayuri', 'Ru, Thing', 'Tanezaki, Atsumi', 'Matsui, Eriko', 'Fuchigami, Mai']
animeStaff	[['Taniguchi, Junki', 'Art Director']]
