animeTitle	Seishoujo Kantai Virgin Fleet
animeType	OVA
animeNumEpisode	3
releaseDate	1998-04-25 00:00:00
endDate	1998-10-25 00:00:00
animeNumMembers	
animeScore	5.22
animeUsers	690
animeRank	
animePopularity	9667
animeDescription	"In the pre-WWII era, Nakano Naval Academy's special school for girls is codenamed ""Virgin Fleet"". These girls are gifted with a special form of power known as ""Virgin Energy"". With the fear of another Russo-Japanese war imminent, rookie pilot Shiokaze Umino must hone her powers to save Japan from complete destruction.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Sakisaka, Mau', 'Umino, Shiokaze', 'Wakamoto, Commander', 'Kusatsuzuki, Komachi', 'Yukimizawa, Satsuki']
animeVoices	['Okano, Kousuke', 'Shimamoto, Sumi', 'Wakamoto, Norio', 'Nishimura, Chinami', 'Yukino, Satsuki']
animeStaff	[['Hosoda, Masahiro', 'Director, Storyboard'], ['Takahashi, Shigeharu', 'Episode Director, Storyboard'], ['Imagawa, Yasuhiro', 'Script, Original Creator'], ['Yukino, Satsuki', 'Theme Song Performance']]
