animeTitle	Sanzoku no Musume Ronja
animeType	TV
animeNumEpisode	26
releaseDate	2014-10-11 00:00:00
endDate	2015-03-28 00:00:00
animeNumMembers	
animeScore	7.11
animeUsers	5037
animeRank	
animePopularity	3507
animeDescription	The story is about a girl named Ronja who is the daughter of a chief of a tribe of bandits and lives in a huge castle in the forest with the bandits. The story follows Ronja as she encounters mystical creatures, makes friends with another young child like herself, and experiences life in the forest.
animeRelated	[]
animeCharacters	['Ronja', 'Birk', 'Lovis', 'Mattis', 'Skalle-Per', 'Harpie', 'Lill-Klippen', 'Pelje', 'Undis', 'Tjegge']
animeVoices	['Shiraishi, Haruka', 'Uyama, Reika', 'Nozawa, Yukari', 'Seki, Takaaki', 'Sasaki, Umeji', 'Katou, Saori', 'Himeno, Keiji', 'Tezuka, Yusuke', 'Doi, Mika', 'Nishi, Rintarou']
animeStaff	[['Kawakami, Nobuo', 'Producer'], ['Miyazaki, Gorou', 'Director, Storyboard, Theme Song Lyrics'], ['Kimura, Eriko', 'Sound Director'], ['Kasamatsu, Kouji', 'Sound Director']]
