animeTitle	Nessa no Wakusei
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.16
animeUsers	608
animeRank	
animePopularity	9856
animeDescription	"Kate, the voluptuous, virginal new recruit of the Federal Space Army Security Police, is the newest detective in the force. She's eager to prove her worth as an undercover agent, but that might not be as easy as she thinks. Her first assignment is to track down the villains who have been raping young women from the hot desert planet, Doune.

(Source: ANN)"
animeRelated	['Nessa no Wakusei: Onna Kouankan Kate']
animeCharacters	['Curtis, Kate', 'Dick', 'Cathy', 'Amy', 'Boss', 'Smith', 'Jenkins', 'Brick', 'Jones']
animeVoices	['Amano, Yuri', 'Yamaguchi, Kappei', 'Sawaki, Ikuya', 'Tsujitani, Kouji', 'Nakahara, Shigeru', 'Yanada, Kiyoyuki', 'Ootaki, Shinya']
animeStaff	[['Asami, Takashi', 'Director, Storyboard'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Ooki, Ryouichi', 'Storyboard, Animation Director, Character Design'], ['Pikabia', 'Theme Song Performance']]
