animeTitle	BanG Dream! Film Live
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.7
animeUsers	2938
animeRank	
animePopularity	5582
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['BanG Dream! 2nd Season', 'BanG Dream! Film Live 2nd Stage']
animeCharacters	['Minato, Yukina', 'Aoba, Moca', 'Tsurumaki, Kokoro', 'Ichigaya, Arisa', 'Imai, Lisa', 'Hikawa, Sayo', 'Mitake, Ran', 'Seta, Kaoru', 'Shirokane, Rinko', 'Yamabuki, Saaya']
animeVoices	['Aiba, Aina', 'Misawa, Sachika', 'Shizaki, Kanon']
animeStaff	"[[""Poppin'Party"", 'Theme Song Performance, Inserted Song Performance'], ['Misawa, Sachika', 'Inserted Song Performance'], ['Aiba, Aina', 'Inserted Song Performance'], ['Roselia', 'Inserted Song Performance']]"
