animeTitle	Dog Soldier
animeType	OVA
animeNumEpisode	1
releaseDate	1989-10-08 00:00:00
endDate	
animeNumMembers	
animeScore	3.91
animeUsers	880
animeRank	
animePopularity	9833
animeDescription	"When an American scientist carrying a cure for the AIDS virus is kidnapped by an arms merchant, John Kyosuke is forced back from retirement. He accepts the challenge to regain possession of the anti-serum. He finds out that some of the people he is after are closely related, which gives his conquest a whole new meaning.

(Source: AnimeNfo)"
animeRelated	['Dog Soldier']
animeCharacters	['Hiba, John Kyosuke', 'Takamura, Makoto Allen', 'Magley, Catherine', 'Takechi', 'Fudou, Masami']
animeVoices	['Kamiya, Akira', 'Wakamoto, Norio', 'Doi, Mika', 'Yara, Yuusaku', 'Gouri, Daisuke']
animeStaff	[['Ebata, Hiroyuki', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Aikawa, Shou', 'Script'], ['Kuroishi, Hitomi', 'Music']]
