animeTitle	High School! Kimengumi (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1986-07-12 00:00:00
endDate	
animeNumMembers	713
animeScore	6.02
animeUsers	250
animeRank	8550
animePopularity	12006
animeDescription	Three additional adventures for the Kimengumi and friends. In the first episode, the boys fail their exams right before summer vacation and have to take supplementary lessons. The second episode is a mandatory school trip to the beach during summer vacation for a swimming competition. In the third episode school is back in session, the karate club is in danger when a new opponent appears. 
animeRelated	['High School! Kimengumi']
animeCharacters	['Ichidou, Rei', 'Reietsu, Go', 'Monohoshi, Dai ', 'Kawa, Yui', 'Shusse, Kiyoshi', 'Daima, Jin', 'Uru, Chie']
animeVoices	['Shiozawa, Kaneto']
animeStaff	[['Moriwaki, Makoto', 'Director'], ['Koyama, Takao', 'Script'], ['Kikuchi, Shunsuke', 'Music'], ['Okayasu, Hajime', 'Editing']]
