animeTitle	Turning Mecard
animeType	TV
animeNumEpisode	52
releaseDate	2015-02-03 00:00:00
endDate	2016-02-05 00:00:00
animeNumMembers	725
animeScore	5.84
animeUsers	225
animeRank	9245
animePopularity	11987
animeDescription	"A Korean/Japanese co-production created by Bakugan and Dragon Ball Super contributor Atsushi Maekawa.

Turning Mecard stars Jason, a grade-schooler who meets a Mecanimal, a transforming minicar from the alternate world of Triforce, named Evan. Jason and Evan are both searching for missing family members, and team up to help each other. Together, they meet more Mecanimals as they battle across dimensions and learn important lessons along the way.

(Source: Crunchyroll)"
animeRelated	['Turning Mecard W', 'Gonglyong Mecard']
animeCharacters	['Dyne, Van', 'Isobel', 'Evan', 'Ryan', 'Jason', 'Dana', 'Tero', 'Phoenix', 'Brandon', 'Kevin']
animeVoices	[]
animeStaff	[['Maekawa, Atsushi', 'Series Composition']]
