animeTitle	Senran Kagura
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	34164
animeRank	
animePopularity	1415
animeDescription	"At the renowned Hanzo Academy, a select group of students trains in secret to become ninjas of an elite clan known as the Shinobi Masters. Following her grandfather's footsteps, the hopeful Asuka undergoes this intensive training alongside her distinctive group of friends: Ikaruga, Katsuragi, Yagyuu, and Hibari. Relentlessly studying the secret ninja arts, they hone their skills in the hopes of one day becoming full-fledged female ninjas. 

Senran Kagura follows the girls as they fight valiantly against a mysterious new evil terrorizing Hanzo Academy. Dressed in tight clothing, they must prove their worth and protect the academy from its adversaries before it is too late!

[Written by MAL Rewrite]"
animeRelated	['Senran Kagura: Shoujo-tachi no Shinei', 'Senran Kagura Specials', 'Senran Kagura Estival Versus: Mizugi-darake no Zenyasai', 'Senran Kagura Shinovi Master: Tokyo Youma-hen', 'Gantz x Senran Kagura New Link']
animeCharacters	['Asuka', 'Katsuragi', 'Yagyuu', 'Ikaruga', 'Hibari', 'Hikage', 'Homura', 'Haruka', 'Daidouji', 'Yomi']
animeVoices	['Harada, Hitomi', 'Kobayashi, Yuu', 'Mizuhashi, Kaori', 'Imai, Asami', 'Iguchi, Yuka', 'Shiraishi, Ryouko', 'Kitamura, Eri', 'Toyoguchi, Megumi', 'Asakawa, Yuu', 'Kayano, Ai']
animeStaff	[['Watanabe, Takashi', 'Director'], ['Koyama, Yoshitaka', 'Episode Director'], ['Nakano, Hideaki', 'Episode Director, Storyboard'], ['Sokuza, Makoto', 'Episode Director']]
