animeTitle	Duel Masters King!
animeType	TV
animeNumEpisode	Unknown
releaseDate	2021-04-04 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12787
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Duel Masters King']
animeCharacters	['Kirifuda, Joe', 'Deckie', 'Cap', 'Uraraka, Momo', 'Kira', 'Bolts']
animeVoices	['Kobayashi, Yumiko', 'Satou, Setsuji', 'Ichikawa, Taichi', 'Toyonaga, Toshiyuki', 'Shiraishi, Minoru']
animeStaff	[['Ishiodori, Hiroshi', 'Director'], ['Itou, Takumi', 'Sound Director'], ['Inoue, Akiko', 'Script'], ['vistlip', 'Theme Song Performance']]
