animeTitle	Katsugeki Shoujo Tanteidan
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.58
animeUsers	781
animeRank	
animePopularity	9654
animeDescription	"Our heroine has been kidnapped and her two somewhat ditzy friends decided to save her in a war machine they found in her house. Unfortunately they have little idea of how it works so let the random destruction begin. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Shizuka Gruber, Ingrid', 'Ichinotani, Midori', 'Edogawa, Yuriko', 'Chairman', 'Jissouji, Akiko']
animeVoices	['Miura, Masako', 'Tarako', 'Yamamoto, Yuriko', 'Aono, Takeshi', 'Tsuru, Hiromi']
animeStaff	[['Okuwaki, Masaharu', 'Storyboard'], ['Moriguchi, Hiroko', 'Theme Song Performance'], ['Tarako', 'Theme Song Performance'], ['Hayashi, Yuzo', 'Theme Song Arrangement']]
