animeTitle	Haru wo Daite Ita
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	13682
animeRank	
animePopularity	3675
animeDescription	"The adorable and attractive main characters of Haru wo Daiteita are Kyousuke Iwaki and Youji Katou who are both in the film industry, having starred in various adult video films and are trying to climb the ladder of success and become greater actors. Iwaki is accepted to star in a popular movie, having beaten Katou in the auditions. During their time together, Katou believes he is in love with Iwaki-San, who on the contrary refuses to believe that he is in love. It is later on that another gay actor comes back to Japan and co-stars with Katou that problems starting arising. And it is from then on that the two realise where their hearts are set.

(Source: ANN)"
animeRelated	['Haru wo Daiteita']
animeCharacters	['Iwaki, Kyousuke', 'Katou, Youji', 'Sawa, Nagisa', 'Urushizaki, Kazunari']
animeVoices	['Morikawa, Toshiyuki', 'Miki, Shinichiro', 'Inoue, Kazuhiko', 'Itou, Kentarou']
animeStaff	[['Nitta, Yoshikata', 'Director, Storyboard'], ['Abe, Nobuyuki', 'Sound Director'], ['Watanabe, Mami', 'Script'], ['Miki, Shinichiro', 'Theme Song Performance']]
