animeTitle	b'Akai Kiba: Blue Sonnet'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	5.92
animeUsers	687
animeRank	
animePopularity	
animeDescription	"b""Sonnet is a cyborg/esper from a harsh background and now trained to be the ultimate warrior and most powerful weapon in the world. She is sent to Japan to watch Komatsuzaki Lan, who is thought to be controlled by the rage of the esper Akai Kiba (Crimson Fang). Lan is a quiet girl who knows she's different from everybody else and starts to show signs of Crimson Fang after coming into contact with Sonnet. In the course of fighting with Lan, Sonnet starts to rediscover her humanity. At the same time Lan has to fight to retain her humanity and control the Crimson Fang.\n\n(Source: ANN)"""
animeRelated	[b'Akai Kiba']
animeCharacters	[b'Torigai, Shuuichi', b'Barge, Sonnet', b'Komatsuzaki, Wataru', b'Dr. Melekess']
animeVoices	[b'\nHironaka, Masashi\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nSasaki, Nozomu\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKanda, Takeyuki\n\nDirector\n\n', b'\nMima, Masafumi\n\nSound Manager\n\n', b'\nKurahashi, Shizuo\n\nSound Effects\n\n', b'\nNakayama, Katsuichi\n\nAnimation Director, Character Design\n\n']
