animeTitle	Genocyber
animeType	OVA
animeNumEpisode	5
releaseDate	1994-03-02 00:00:00
endDate	1994-07-21 00:00:00
animeNumMembers	29305
animeScore	5.82
animeUsers	9290
animeRank	9294
animePopularity	3328
animeDescription	"As the nations of the world begin to merge, world peace is threatened by the private armies of individual corporations. The Kuryu Group has just discovered a weapon that will tip world power in their favor. The Genocyber: a nightmarish combination of cybernetics and psychic potential. Many desire to control this monstrosity, but can its hatred be contained... Battle erupts, and the cyberpunk world of the future is about to explode with violence.

(Source: ANN)"
animeRelated	['Genocyber']
animeCharacters	['Reed, Elaine', 'Myra', 'Amachi', 'Mel', 'Reed, Kenneth', 'Reed, Diana', 'Kuryu, Genichiro', 'Rockwell, Grimson', 'Wakayama', 'Ryu']
animeVoices	['Hiramatsu, Akiko', 'Katsuki, Masako', 'Shinohara, Emi', 'Nishihara, Kumiko', 'Katou, Seizou', 'Ooki, Tamio', 'Sogabe, Kazuyuki', 'Wakamoto, Norio', 'Tsujitani, Kouji']
animeStaff	[['Aramaki, Shinji', 'Producer'], ['Abe, Masashi', 'Producer'], ['Ohata, Koichi', 'Director'], ['Aikawa, Shou', 'Script']]
