animeTitle	Upotte!!: Miatte Waratte
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	7241
animeRank	
animePopularity	4584
animeDescription	OVA bundled with 4th volume of manga.
animeRelated	['Upotte!!']
animeCharacters	['FNC', 'L85A1', 'SG550', 'M16A4', 'G3A3', 'FAL L1A1']
animeVoices	['Nomizu, Iori', 'Misato', 'Sadohara, Kaori', 'Togashi, Misuzu', 'Kosuge, Mami', 'Mina']
animeStaff	[['Kato, Takao', 'Director'], ['Arakawa, Naruhisa', 'Script'], ['Takami, Akio', 'Storyboard, Animation Director, Character Design'], ['sweet ARMS', 'Theme Song Performance']]
