animeTitle	Nijuushi no Hitomi
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15249
animeDescription	"Based on the book by Tsuboi Sakae, which drew on her involvement in Japan's anarchist counterculture and opposition to Korean War rearmament.

Combined live action (handled by Akio Jissoji) and animation (handled by Shigetsugu Yoshida).
Released as a TV special.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Narrator', 'Matsue']
animeVoices	['Shiraishi, Tamae']
animeStaff	[['Yoshida, Shigetsugu', 'Director'], ['Watanabe, Takeo', 'Music'], ['Kodama, Kenji', 'Animation Director']]
