animeTitle	Kiddy Grade: Maelstrom
animeType	Movie
animeNumEpisode	1
releaseDate	2007-06-23 00:00:00
endDate	
animeNumMembers	4243
animeScore	7.07
animeUsers	1172
animeRank	3489
animePopularity	7481
animeDescription	A recap of the original anime's second quarter.
animeRelated	['Kiddy Grade', 'Kiddy Grade: Ignition', 'Kiddy Grade: Truth Dawn']
animeCharacters	"['Éclair', 'Lumière', 'Sinistra', 'Tweedledee', 'Tweedledum', 'Jenever, Alv', 'Viola', 'Armbrust', 'Dextera', ""D'Autriche, Chevalier""]"
animeVoices	['Hirano, Aya']
animeStaff	[['Kikuchi, Tsuyoshi', 'Assistant Producer'], ['Gotou, Keiji', 'Director'], ['Kimura, Hidefumi', 'Script'], ['savage genius', 'Theme Song Performance']]
