animeTitle	Kai Doh Maru
animeType	OVA
animeNumEpisode	1
releaseDate	2001-12-19 00:00:00
endDate	
animeNumMembers	7212
animeScore	5.6
animeUsers	3435
animeRank	10067
animePopularity	6064
animeDescription	"This story takes place during the Heian Period of Japan`s history, when evil spirits still resided in the forests, mountains and rivers. A girl, accompanied by her loved one, battles against these evil spirits, while she is disguised as man. This brave woman, aka ""Kaidomaru"", with a Chinese character ""Flame"" tatooed on her upper arm, was one of the ""Four Devas"". Kaidomaru fights for the honor of her lost love, Raikou Minamotono, who had sacrified his life in order to protect the capital Kyoto, from the evils deeds of a ""princess"" cursed by a malicious ogre. The princess, whom Kaidomaru used to play with as a child, has now become her ultimate enemy.

(Source: Production I.G.)"
animeRelated	[]
animeCharacters	['Kintoki, Sakatano', 'Minamoto, Raiko', 'Yamabuki']
animeVoices	['Saiga, Mitsuki', 'Morikubo, Shoutarou', 'Oosaka, Fumiko']
animeStaff	[['Morishita, Katsuji', 'Producer'], ['Ike, Yoshihiro', 'Music'], ['Ishikawa, Mitsuhisa', 'Executive Producer'], ['Tajima, Shouu', 'Character Design']]
