animeTitle	Hidamari Sketch x ☆☆☆
animeType	TV
animeNumEpisode	12
releaseDate	2010-01-08 00:00:00
endDate	2010-03-26 00:00:00
animeNumMembers	
animeScore	7.91
animeUsers	11553
animeRank	
animePopularity	3627
animeDescription	"The continuing stories of the daily life of the students of the Hidamari Apartments at Yamabuki High School. This time, a year has passed since the first season. Yuno and Miyako are second years, Sae and Hiro are third years, and two new students, Nori and Nazuna, move into the Hidamari Apartments.

(Source: ANN)"
animeRelated	['Hidamari Sketch', 'Hidamari Sketch x 365 Specials', 'Hidamari Sketch x ☆☆☆ Specials', 'Hidamari Sketch x ☆☆☆ Recap']
animeCharacters	['Miyako', 'Yuno', 'Sae', 'Hiro', 'Nori', 'Nazuna', 'Yoshinoya', 'Natsume', 'The Principal', 'Ume']
animeVoices	['Mizuhashi, Kaori', 'Asumi, Kana', 'Shintani, Ryouko', 'Gotou, Yuuko', 'Harada, Hitomi', 'Omigawa, Chiaki', 'Matsuki, Miyu', 'Fukuen, Misato', 'Cho', 'Aoki, Ume']
animeStaff	[['Iwakami, Atsuhiro', 'Producer'], ['Ooshima, Miku', 'Assistant Producer, Script'], ['Shinbou, Akiyuki', 'Director'], ['Ishikura, Kenichi', 'Director, Episode Director']]
