animeTitle	Magical Suite Prism Nana
animeType	OVA
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	142
animeRank	
animePopularity	5565
animeDescription	"In a future not too distant from ours, Nanagoo City is a beautiful city in Japan surrounded by mountains and ocean-sides. The sensitive, adolescent girls who live there are each opening up doors to their own, unique possibilities. No one wants to forget the path they take to adulthood.

(Source: ANN)"
animeRelated	['Magical Suite Prism Nana Prism Box']
animeCharacters	['Washioka, Itaru', 'Asagi, Asuka', 'Oribe, Kotone', 'Hiiragi, Mako']
animeVoices	['Mimori, Suzuko', 'Imai, Asami', 'Kitamura, Eri', 'Anzai, Chika']
animeStaff	[['Numata, Seiya', 'Director, Sound Director, Episode Director, Script, Storyboard, Editing'], ['Kantoku', 'Original Character Design'], ['Daisy×Daisy', 'Music']]
