animeTitle	Hashire John
animeType	OVA
animeNumEpisode	1
releaseDate	1997-01-01 00:00:00
endDate	
animeNumMembers	99
animeScore	
animeUsers	
animeRank	15958
animePopularity	17777
animeDescription	Tatsuya Obayashi rescued a dog from a vacant lot and named him John. He's a bit slow and Tatsuya raised his voice when John couldn't bring back the frisbee as fast. The next day Yoshio transfers into Tatsuya's class. He wants to be friends but Yoshio began to get bullied. With the help of John, Tatsuya learns how to be patient and help stand up for his classmate. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
