animeTitle	Hatsukoi Limited.
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	36484
animeRank	
animePopularity	1749
animeDescription	"A series relating the intertwined stories about the ""first loves"" of several middle-schoolers and high-schoolers. Each episode tends to focus on a different character, however the developments established during previous episodes continue to play smaller roles in those following. As the series progresses, an array of unusual and unexpected love webs begin to blossom."
animeRelated	['Hatsukoi Limited.', 'Hatsukoi Limited.: Gentei Shoujo']
animeCharacters	['Yamamoto, Misaki', 'Enomoto, Kei', 'Bessho, Koyoi', 'Kusuda, Etsu', 'Dobashi, Rika', 'Arihara, Ayumi', 'Chikura, Nao', 'Sogabe, Hiroyuki', 'Watase, Meguru', 'Zaitsu, Mamoru']
animeVoices	['Tanaka, Rie', 'Itou, Shizuka', 'Toyosaki, Aki', 'Asanuma, Shintaro', 'Kotobuki, Minako', 'Ise, Mariya', 'Fujimura, Ayumi', 'Sakurai, Takahiro', 'Shiraishi, Ryouko', 'Irino, Miyu']
animeStaff	[['Kawase, Kouhei', 'Producer'], ['Nakayama, Nobuhiro', 'Producer'], ['Yamakawa, Yoshiki', 'Director, Episode Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director']]
