animeTitle	Chickip Dancers
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12906
animeDescription	"TV anime based on San-X's new series of mascot characters ""Chickip Dancers."" The main characters in the anime will be the apprehensive but curious bone-in chicken Hone Chicken, and the dancing instructor frog Skip Gaeru, who travels by dancing.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Hone Chicken', 'Ringo Ame', 'Skip Gaeru-sensei', 'Nankotsu', 'Kushikatsu', 'Gyuunyuu Ice', 'Dango']
animeVoices	['Hanae, Natsuki', 'Ishikawa, Yui']
animeStaff	[['Rareko', 'Director, Script'], ['Tanabe, Shigenori', 'Script'], ['Yumiki, Erino', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition']]
