animeTitle	b'Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	17433
animeRank	
animePopularity	
animeDescription	"b'In a futuristic, post-disaster Tokyo, the ""Special Public Security Fifth Division Third Mobile Assault Eighth Unit,"" or ""Unit Eight,"" is a police unit specializing in handling criminals who wield dangerous wearable technology called ""Willwear."" Equipped with Willwear of their own, the squadron is often criticized by the public for their carelessness and disregard for protocol.\n\nSent in by the government as an undercover agent with special instructions from the higher-ups, Asami Kazari is Unit Eight\'s newest member. Determined to straighten out what she expects to be a group of incompetent fools, she instead finds a team of well-intentioned experts who use very effective\xe2\x80\x94albeit unorthodox\xe2\x80\x94methods, hindered by strict regulations. With their newest member by their side, Unit Eight fights crime and overcomes unexpected adversaries in Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Active Raid: Kidou Kyoushuushitsu Dai Hachigakari', b'Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd']
animeCharacters	[b'Kazari, Asami', b'Kuroki, Takeru', b'Sena, Souichirou', b'Mythos', b'Liko', b'Hoshimiya, Haruka', b'Doc', b'Ooshikouchi, Miho', b'Girl', b'Kominato, Eriko']
animeVoices	[b'\nOzawa, Ari\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n', b'\nKurosawa, Tomoyo\nJapanese\n', b'\nIshigami, Shizuka\nJapanese\n', b'\nYamashita, Daiki\nJapanese\n', b'\nWatanabe, Akeno\nJapanese\n', b'\nHondo, Kaede\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTaniguchi, Gorou\n\nDirector\n\n', b'\nAkitaya, Noriaki\n\nDirector\n\n', b'\nArakawa, Naruhisa\n\nScript, Series Composition\n\n', b'\nAraki, Kenichi\n\nScript\n\n']
