animeTitle	Aki no Kanade
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.99
animeUsers	9559
animeRank	
animePopularity	3983
animeDescription	"Aki Miyagawa moved to Tokyo to pursue her dream to be a taiko drummer, but had a hard time balancing her strict training regimen with her part-time job. Now, after 15 years, she's returning to coach others for a taiko festival.

(Source: ANN)

Project by J.C.Staff announced to be part of Anime Mirai 2015."
animeRelated	['Ongaku Shoujo', 'Happy ComeCome', 'Kumi to Tulip']
animeCharacters	['Miyagawa, Aki', 'Yoshioka, Michio', 'Matsumoto, Akane', 'Okumura, Megumi']
animeVoices	['Satou, Rina', 'Hamada, Kenji', 'Nakahara, Mai', 'Kugimiya, Rie']
animeStaff	[['Suzuki, Youhei', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Ishida, Miyuki', 'Episode Director, Storyboard'], ['Yaegashi, Youhei', 'Animation Director, Character Design']]
