animeTitle	Templex
animeType	Movie
animeNumEpisode	1
releaseDate	2015-01-01 00:00:00
endDate	
animeNumMembers	361
animeScore	5.49
animeUsers	222
animeRank	10401
animePopularity	13930
animeDescription	One rainy day, a woman wakes up, opens the curtains, and stares at her reflection in the window, noticing her curly hair. She climbs out of bed and begins to wash it, while strange images of self-hatred fill her mind.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
