animeTitle	SD Gundam World Heroes
animeType	ONA
animeNumEpisode	24
releaseDate	2021-04-08 00:00:00
endDate	2021-09-16 00:00:00
animeNumMembers	
animeScore	5.82
animeUsers	196
animeRank	
animePopularity	11047
animeDescription	"The balance of the worlds is maintained by heroes. Suddenly, a red-hot meteor falls upon one of these worlds, called Neo World. An amnesiac youth named Wukong Impulse Gundam appears at the point where it landed. The chaos that starts with this incident spreads through the other worlds, one after another. At the same time, Zhuge Liang Freedom Gundam learns via astrology of an impending disaster. He and his sworn friend Liu Bei Unicorn Gundam take action to save the worlds from this crisis, and begin a journey along with Wukong.

What will Wukong Impulse Gundam think as he meets the heroes of each world? Will this youth bring about peace or catastrophe? Now begins a new story of heroes!

(Source: Official Site)"
animeRelated	['SD Gundam World: Sangoku Souketsuden']
animeCharacters	['Gundam Epyon, Nobunaga', 'Delta Gundam, Sasuke', 'Second V, Edward', 'V2 Gundam, Benjamin', 'Impulse Gundam, Wukong', 'Buster Gundam, Sergeant Verde', 'Unicorn Gundam, Liu Bei']
animeVoices	['Takeuchi, Ryouta', 'Miura, Katsuyuki', 'Katsu, Anri', 'Kusumi, Naomi', 'Kanada, Aki', 'Powers, Maxwell', 'Kajiwara, Gakuto']
animeStaff	[['Ikezoe, Takahiro', 'Director'], ['Fujino, Sadayoshi', 'Sound Director'], ['TrySail', 'Theme Song Performance'], ['Sky Peace', 'Theme Song Performance']]
