animeTitle	Beniimo Musume
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18008
animeDescription	Music video for the song Beniimo Musume by Japanese pop duo Kiroro that was featured on NHK's Minna no Uta program. The video features a blend of live dancing choreographed by Akiko Miyahira and animation by Taku Anekawa with studio MeltMetal.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
