animeTitle	Kanadian Families: Episode Zero
animeType	OVA
animeNumEpisode	1
releaseDate	2015-07-10 00:00:00
endDate	
animeNumMembers	
animeScore	5.63
animeUsers	140
animeRank	
animePopularity	12814
animeDescription	Follows Kana-chan and her animal friends' life on a ranch.
animeRelated	[]
animeCharacters	['Kana-chan', 'Dog', 'Frog', 'Kingfisher']
animeVoices	['Hanazawa, Kana', 'Kanemoto, Hisako', 'Ueda, Youji', 'Takahashi, Mikako']
animeStaff	[['Cort', 'Director, Key Animation'], ['Asanuma, Shintaro', 'Script'], ['Hanazawa, Kana', 'Original Character Design'], ['Asada, Nikki', 'Character Design']]
