animeTitle	Akai Koudan Zillion
animeType	TV
animeNumEpisode	31
releaseDate	1987-04-12 00:00:00
endDate	1987-12-13 00:00:00
animeNumMembers	
animeScore	6.58
animeUsers	997
animeRank	
animePopularity	7272
animeDescription	"The story takes place on the planet Maris in the year 2387. Around this time, the Nozas started to genocidally kill all humans in order to lay eggs and reproduce on the planet. Three mysterious guns dubbed the ""Zillion Weapon System"" appear and three teens (JJ, Champ, and Apple) are chosen to wield them as the White Knights in order to fight back against the Nozas.

(Source: Wikipedia)"
animeRelated	['Akai Koudan Zillion: Utahime Yakyoku', 'Akai Koudan Zillion Recaps']
animeCharacters	['JJ', 'Apple', 'Champ', 'Baron Riks', 'Dave', 'Opa-Opa', 'Bo', 'Harrison, Amy', 'Anthony', 'Ady']
animeVoices	['Seki, Toshihiko', 'Mizutani, Yuuko', 'Inoue, Kazuhiko', 'Hayami, Show', 'Nakamura, Daiki', 'Honda, Chieko', 'Nishimura, Tomohiro', 'Sasaki, Nozomu', 'Koujiro, Chie']
animeStaff	[['Macek, Carl', 'Producer, ADR Director, Screenplay'], ['Nishikubo, Mizuho', 'Director, Episode Director, Storyboard'], ['Shimizu, Katsunori', 'Sound Director'], ['Sadamitsu, Shinya', 'Episode Director, Storyboard']]
