animeTitle	Ikkyuu-san to Yancha Hime
animeType	Movie
animeNumEpisode	1
releaseDate	1978-03-18 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14586
animeDescription	"Ikkyuu must talk a tomboy into behaving in a more lady-like manner before her habit of calling herself by the boy's name Tsuyumaru and attacking shogun Yoshimitsu Ashikaga with a wooden sword gets her into trouble.

(Source: AniDB)"
animeRelated	['Ikkyuu-san']
animeCharacters	['Ikkyuu']
animeVoices	['Fujita, Toshiko']
animeStaff	[['Yabuki, Kimio', 'Director'], ['Tsuji, Masaki', 'Screenplay'], ['Shirato, Takeshi', 'Animation Director'], ['Kageyama, Isamu', 'Art Director']]
