animeTitle	b'Love Live! Sunshine!!'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.39
animeUsers	75549
animeRank	
animePopularity	
animeDescription	"b""Chika Takami, a self-proclaimed normal girl, has never been involved in any clubs and lacked any notable talents. However, after a visit to Tokyo, she discovers a stage where even an ordinary girl like her could shine\xe2\x80\x94the world of school idols. Inspired by the former superstar school idol group \xce\xbc's, Chika is determined to start her own school idol club in her seaside hometown at Uranohoshi Girl's High School. But even before gathering any students to join the group, the aspiring school idol finds her greatest obstacle to be student council president Dia Kurosawa who stands firmly against the creation of the club.\n\nJust when it seems there is no hope, Chika meets Riko Sakurauchi, a transfer student from Otonokizaka High School, home of \xce\xbc's. Somewhat shy but a talented piano player, Chika believes her to be a promising recruit, though convincing her to join is easier said than done. In spite of that, Chika chooses to charge forward and overcome the obstacles keeping her from forming a school idol group that shines as bright as the nine that came before her.\n\n[Written by MAL Rewrite]"""
animeRelated	"[b'Love Live! Sunshine!!', b'Love Live! Sunshine!! School Idol Diary', b'Love Live! School Idol Project', b'Love Live! Nijigasaki Gakuen School Idol Doukoukai', b'Kimi no Kokoro wa Kagayaiteru kai?', b'Koi ni Naritai Aquarium', b'Happy Party Train', b'Kokoro Magic ""A to Z""', b'Love Live! Sunshine!! 2nd Season', b'Love Live! Sunshine!! Recap', b'30-pun de Wakaru! Kore made no Love Live! Sunshine!!', b'3-pun de Wakaru! Kore made no Love Live! Sunshine!!', b'Tokimeki Runners', b'Never Giving Up!', b'Perfect Sekai', b'Cotton Candy Ei-Ei-Oh!', b'Motto ne!', b'smile smile ship Start!', b'Shiny Racers', b'KU-RU-KU-RU Cruller!', b'Tatehoko Tsubasa', b'Hajimari wa Kimi no Sora']"
animeCharacters	[b'Tsushima, Yoshiko', b'Watanabe, You', b'Kunikida, Hanamaru', b'Sakurauchi, Riko', b'Ohara, Mari', b'Kurosawa, Ruby', b'Kurosawa, Dia', b'Matsuura, Kanan', b'Takami, Chika', b'Kazuno, Leah']
animeVoices	[b'\nKobayashi, Aika\nJapanese\n', b'\nSaitou, Shuka\nJapanese\n', b'\nTakatsuki, Kanako\nJapanese\n', b'\nAida, Rikako\nJapanese\n', b'\nSuzuki, Aina\nJapanese\n', b'\nFurihata, Ai\nJapanese\n', b'\nKomiya, Arisa\nJapanese\n', b'\nSuwa, Nanaka\nJapanese\n', b'\nInami, Anju\nJapanese\n', b'\nSatou, Hinata\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakai, Kazuo\n\nDirector, Episode Director\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nAndou, Ryou\n\nEpisode Director\n\n', b'\nMinamikawa, Tatsuma\n\nEpisode Director\n\n']
