animeTitle	b'Suiyoubi no Yakusoku'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	103
animeRank	
animePopularity	
animeDescription	b'Music video animated by Mogelatte for the song Suiyoubi no Yakusoku by HoneyWorks featuring Gero.'
animeRelated	[]
animeCharacters	[b'Hamanaka, Midori']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHoneyWorks\n\nTheme Song Performance\n\n', b'\nGero\n\nTheme Song Performance\n\n']
