animeTitle	Big Order
animeType	OVA
animeNumEpisode	1
releaseDate	2015-10-03 00:00:00
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	16588
animeRank	
animePopularity	2987
animeDescription	"The story centers on an introverted high school student named Eiji Hoshimiya with a huge secret—he wished for the destruction of the world when he was younger. Fairies give certain people special powers called Orders, and what Order Users can do with their power depends on their wishes. Ten years after the Great Destruction, Eiji struggles to come to terms with his immense power.

(Source: ANN)"
animeRelated	['Big Order', 'Big Order (TV)']
animeCharacters	['Kurenai, Rin', 'Hoshimiya, Eiji', 'Iyo', 'Daisy', 'Hoshimiya, Sena', 'Hiiragi, Yoshitsune', 'Tairano, Kagekiyo', 'Hoshimiya, Gennai', 'Fran, Abraham Louis', 'Sundan, Ayahito']
animeVoices	['Mikami, Shiori', 'Morita, Masakazu', 'Tadokoro, Azusa', 'Misaki, Mari', 'Kuno, Misaki', 'Tachibana, Shinnosuke', 'Harada, Hitomi', 'Tsuruoka, Satoshi', 'Shingaki, Tarusuke', 'Hayashi, Yuu']
animeStaff	[['Kamanaka, Nobuharu', 'Director, Episode Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Takayama, Katsuhiko', 'Script'], ['Yousei Teikoku', 'Theme Song Performance']]
