animeTitle	b'Densetsu Kyojin Ideon'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.99
animeUsers	2829
animeRank	
animePopularity	
animeDescription	"b""Mankind has traveled to the stars and come across various alien civilizations, now long dead. Upon discovering the archaeological remains of such a civilization on the planet Solo, humanity finally has its first encounter with a living alien species: the Buff Clan. When Karala Ajiba, the daughter of the Buff Clan's military leader, sets foot on the surface of Solo, the Buff Clan launches a brutal assault on the colony to retrieve her.\n\nIn order to escape, Cosmo Yuki, Kasha Imhof, and Bes Jordan climb aboard three trucks, which soon transform into the giant humanoid robot Ideon. When the settlement on Solo is destroyed, the survivors board a recently discovered spaceship\xe2\x80\x94the Solo Ship\xe2\x80\x94and flee, endeavoring to get away from the aliens and finally find peace. The relentless Buff Clan, however, is still in hot pursuit and will not give up so easily.\n\n[Written by MAL Rewrite] """
animeRelated	[b'Densetsu Kyojin Ideon: Sesshoku-hen', b'Densetsu Kyojin Ideon: Hatsudou-hen']
animeCharacters	[b'Jordan, Bes', b'Yuuki, Cosmo', b'Ajiba, Karala', b'Imhof, Kasha', b'Formossa, Sheryl', b'Ajiba, Harulu', b'Zaral, Gije', b'Kitten, Kitty', b'Ira, Joliver', b'Narrator']
animeVoices	[b'\nTanaka, Hideyuki\nJapanese\n', b'\nShioya, Yoku\nJapanese\n', b'\nToda, Keiko\nJapanese\n', b'\nShiraishi, Fuyumi\nJapanese\n', b'\nInoue, You\nJapanese\n', b'\nIchiryuusai, Harumi\nJapanese\n', b'\nHayashi, Kazuo\nJapanese\n', b'\nUkai, Rumiko\nJapanese\n', b'\nShiozawa, Kaneto\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTomino, Yoshiyuki\n\nDirector, Storyboard\n\n', b'\nUrakami, Yasuo\n\nSound Director\n\n', b'\nTakizawa, Toshifumi\n\nEpisode Director\n\n', b'\nSadamitsu, Shinya\n\nEpisode Director\n\n']
