animeTitle	Chi's Sweet Home
animeType	TV
animeNumEpisode	104
releaseDate	
endDate	
animeNumMembers	
animeScore	7.69
animeUsers	21147
animeRank	
animePopularity	2302
animeDescription	"One day, a small kitten named Chi is found by a young boy named Youhei and his mother. They decide to bring her back to their home to live with them despite their apartment's rules against keeping any pets. Chi, Youhei, and Youhei's parents cherish their time together as they make new friends, good memories, and have fun times together.

These short adventures revolve around the daily life of Chi and her family, in addition to the many friends that they make along the way. No matter what trouble Chi ends up getting into, she knows that her family will always love her!

[Written by MAL Rewrite]"
animeRelated	"[""Chi's Sweet Home"", ""Chi's Sweet Home: Atarashii Ouchi""]"
animeCharacters	"['Yamada, Chi', 'Yamada, Youhei', 'Yamada, Kento', 'Yamada, Miwa', 'Kuroino', 'Mama', 'Store assistant ', 'Veterinarian', ""Kuroino's Owner"", 'Juri']"
animeVoices	['Koorogi, Satomi', 'Kozakura, Etsuko', 'Kiuchi, Hidenobu', 'Hidaka, Noriko', 'Yanada, Kiyoyuki', 'Horanai, Ai', 'Kawahara, Yoshihisa', 'Misono, Yukihiro', 'Sato, Ikumi']
animeStaff	[['Masuhara, Mitsuyuki', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Koorogi, Satomi', 'Theme Song Performance'], ['Itou, Masumi', 'Theme Song Arrangement, Theme Song Composition']]
