animeTitle	Natsume Yuujinchou Go Specials
animeType	Special
animeNumEpisode	2
releaseDate	2017-03-30 00:00:00
endDate	2017-04-26 00:00:00
animeNumMembers	
animeScore	8.33
animeUsers	16347
animeRank	
animePopularity	2944
animeDescription	Two special episodes bundled in the fourth and fifth volume of the Blu-ray/DVD.
animeRelated	['Natsume Yuujinchou Go']
animeCharacters	['Natsume, Takashi', 'Madara', 'Natsume, Reiko', 'Hinoe', 'Fujiwara, Touko', 'Misuzu', 'Nishimura, Satoru', 'Ushikao no Chuukyuu Youkai', 'Fujiwara, Shigeru', 'Hitotsume no Chuukyuu Youkai']
animeVoices	['Kamiya, Hiroshi', 'Inoue, Kazuhiko', 'Kobayashi, Sanae', 'Okamura, Akemi', 'Itou, Miki', 'Kuroda, Takaya', 'Kimura, Ryouhei', 'Shimozaki, Hiroshi', 'Itou, Eiji', 'Matsuyama, Takashi']
animeStaff	[['Aimer', 'Theme Song Performance']]
