animeTitle	b'Re:\xe2\x90\xa3Hamatora'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	68889
animeRank	
animePopularity	
animeDescription	b'It has been three months since the incident at Yokohama. Things have been settling down at Cafe Nowhere. Murasaki and Hajime have teamed up and started investigating again. After an unforeseen reunion, Art holds Nice at gunpoint. What are his real intentions? What will become of the connection between Art and Hamatora?\n\n(Source: Crunchyroll)'
animeRelated	[b'Hamatora The Animation', b'Fw:Hamatora']
animeCharacters	[b'Nice', b'Art', b'Hajime', b'Murasaki', b'Birthday', b'Ratio', b'Moral', b'Honey', b'Three', b'Koneko']
animeVoices	[b'\nOosaka, Ryouta\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nKatou, Emiri\nJapanese\n', b'\nHatano, Wataru\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nOno, Yuuki\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nMurase, Katsuki\nJapanese\n', b'\nYasuno, Kiyono\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHiga, Yuuji\n\nProducer\n\n', b'\nKishi, Seiji\n\nDirector\n\n', b'\nIida, Satoki\n\nSound Director\n\n', b'\nKumagai, Jun\n\nScript, Series Composition\n\n']
