animeTitle	Biriken
animeType	TV
animeNumEpisode	32
releaseDate	1988-07-11 00:00:00
endDate	1989-04-03 00:00:00
animeNumMembers	272
animeScore	
animeUsers	
animeRank	15010
animePopularity	14885
animeDescription	"Based on Fujiko Fujio A's manga of the same name.
"
animeRelated	['Biriken Nandemo Shoukai']
animeCharacters	['Mama', 'Tetsuo']
animeVoices	['Hamura, Kyouko', 'Tominaga, Miina']
animeStaff	[['Tsukasa, Sunaga', 'Episode Director'], ['Sakurai, Masaaki', 'Script'], ['Nozawa, Masako', 'Theme Song Performance'], ['Horie, Mitsuko', 'Theme Song Performance']]
