animeTitle	Honto ni Atta! Reibai Sensei
animeType	TV
animeNumEpisode	22
releaseDate	2011-04-13 00:00:00
endDate	2011-09-14 00:00:00
animeNumMembers	
animeScore	6.54
animeUsers	2240
animeRank	
animePopularity	6072
animeDescription	"The story revolves around Kibayashi, a teacher whose hobby is speaking with the dead and whose special talent is exorcism. She seems to know everything about the other world, yet nothing about our own.

(Source: AniDB)"
animeRelated	['Honto ni Atta! Reibai Sensei', 'Pair']
animeCharacters	['Kibayashi, Juri', 'Yoshii, Akiko', 'Nitta, Eri', 'Kuroneko', 'Kame-chan', 'Assistant Principal', 'Marujolene', 'Nagara-sensei', 'Kanako', 'Romeo']
animeVoices	['Mizuhara, Kaoru', 'Matsuki, Miyu', 'Katou, Emiri', 'Ono, Yuuki', 'Fuchigami, Mai']
animeStaff	[['Tani, Azuma', 'Director, Screenplay'], ['Umoto, Yuuji', 'Episode Director'], ['Matsumoto, Hidekichi', 'Original Creator']]
