animeTitle	UFO Robo Grendizer
animeType	TV
animeNumEpisode	74
releaseDate	
endDate	
animeNumMembers	
animeScore	7.51
animeUsers	4326
animeRank	
animePopularity	5388
animeDescription	"Duke Fleed is a survivor of the Fleed Planet who is escaped to the Earth, onboard a mysterious ""spaceship"", where is raised by Dr. Umon as his adoptive son, and known as Daisuke Umon. Years after his arrival, he's faced with the threat of King Vega and his army, who want to conquer the Earth. With his friends Koji and Hikaru (and later his younger sister Maria Grace), Duke decides to fight back using his best weapon - the almighty Grendizer."
animeRelated	['UFO Robo Grendizer', 'UFO Robo Grendizer tai Great Mazinger', 'Uchuu Enban Dai-Sensou', 'Grendizer Giga']
animeCharacters	['Kabuto, Kouji', 'Fleed, Duke', 'Grace Fleed, Maria', 'Gandal', 'Makiba, Hikaru', 'Boss', 'Zuril', 'Blaki', 'Makiba, Danbei', 'Baron, Naida']
animeVoices	['Ishimaru, Hiroya', 'Tomiyama, Kei', 'Yoshida, Rihoko', 'Tomita, Kousei', 'Kawashima, Chiyoko', 'Ootake, Hiroshi', 'Ginga, Banjou']
animeStaff	[['Katsumata, Tomoharu', 'Director, Storyboard'], ['Yamayoshi, Yasuo', 'Director'], ['Matsuura, Johei', 'Episode Director'], ['Kasai, Osamu', 'Episode Director, Storyboard']]
