animeTitle	b'Hanasakeru Seishounen'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	7.72
animeUsers	21849
animeRank	
animePopularity	
animeDescription	"b""Kajika Louisa Kugami Burnsworth is the only daughter of Harry Burnsworth, an influential and respected industrialist who has the power to move the world. There was a threat on Kajika\xe2\x80\x99s life when she was just two years old, and her mother died protecting her. After this tragic incident, Harry sent his only child to an isolated island, Giviolle, where she was raised by the island\xe2\x80\x99s native, Maria. Kajika\xe2\x80\x99s companions during her time there include a white leopard named Mustafa and a boy named Li Ren Fang, who visited her two or three times a year.\n\nKajika, now fourteen, returns to her father's side, only to be told to begin a game to find her future husband. Harry makes sure that Kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband. She needs to decide among the three candidates that Harry has personally chosen, but it won\xe2\x80\x99t be easy. Kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm. All the while, the men aren't even aware that they are the chosen ones. Kajika must also choose wisely, as her partner has to willingly accept her to be his bride.\n\nHansakeru Seishounen revolves around endearing love, intense passion, noble friendship, undying loyalty, family relations, and political intrigue. The heaviness of Kajika\xe2\x80\x99s fate is real, the threat on Kajika\xe2\x80\x99s life is inevitable, and the husband game is more than just a mere game. Harry needs to find a suitable partner to protect his daughter before someone discovers Kajika\xe2\x80\x99s deep secret\xe2\x80\x94a secret even she is unaware of."""
animeRelated	[b'Hanasakeru Seishounen', b'Hanasakeru Seishounen Recaps']
animeCharacters	[b'Fang, Li Ren', b'Raginei, Rumaty Ivan di', b'Kugami Burnsworth, Kajika Louisa', b'Volkan, Eugene Alexandre de', b'Rosenthal, Carl', b'Hafez, Quinza', b'Sheik Di Raginei, Mahaty', b'Haga, Toranosuke V.', b'Burnsworth, Harry', b'Neuei, Isaac']
animeVoices	[b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nKakihara, Tetsuya\nJapanese\n', b'\nGouda, Hozumi\nJapanese\n', b'\nTsuchida, Hiroshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKon, Chiaki\n\nDirector, Storyboard\n\n', b'\nKamegaki, Hajime\n\nDirector\n\n', b'\nTakakuwa, Hajime\n\nSound Director\n\n', b'\nOgiwara, Rokou\n\nEpisode Director\n\n']
